item,kod
Q20085721,tsi
Q27175,fry
Q25448,ber
Q25268,afa
Q25355,kal
Q25285,tat
Q25293,cel
Q25258,fao
Q25442,wen
Q25289,cor
Q27183,ipk
Q33569,haw
Q33557,krl
Q35375,bin
Q56466,din
Q56482,shn
Q35470,elx
Q35570,fat
Q36147,lus
Q36217,lin
Q36395,enm
Q36368,kur
Q36451,mao
Q36613,tem
Q36734,phn
Q36745,rar
Q36850,twi
Q56417,arp
Q56236,lui
Q56491,byn
Q36730,ota
Q36098,lam
Q36928,uga
Q35772,man
Q36094,kau
Q35934,ina
Q35891,kmb
Q35995,mdr
Q36236,mal
Q36284,srr
Q36986,vol
Q36155,cop
Q56611,car
Q35497,grc
Q35787,mas
Q36096,mos
Q56612,sam
Q35518,akk
Q35876,grn
Q36116,mga
Q36337,nzi
Q36983,umb
Q56312,mwr
Q56475,hau
Q56322,smj
Q58635,pan
Q56463,smi
Q36902,yao
Q36157,lub
Q35377,efi
Q36126,kom
Q49341,kaw
Q56756,cad
Q36209,kum
Q35459,ewo
Q35673,kpe
Q35613,nde
Q36280,mah
Q36355,oto
Q36660,snk
Q36727,pli
Q36939,vai
Q37005,zen
Q35452,bis
Q36943,wal
Q35667,gez
Q36831,chg
Q37733,jrb
Q60069,wak
Q35455,bik
Q58680,pus
Q35668,hit
Q35850,ile
Q36785,nbl
Q35978,hil
Q36790,sux
Q13238,udm
Q13300,nah
Q13324,min
Q13330,mwl
Q13343,mdf
Q9091,bel
Q9307,glg
Q9267,tuk
Q10134,tlh
Q13307,nau
Q13275,som
Q13293,sma
Q9296,mac
Q9083,lit
Q8785,arm
Q11059,san
Q9035,dan
Q9067,hun
Q8798,ukr
Q9211,lao
Q13310,nav
Q8765,arg
Q8748,alb
Q13201,rom
Q13955,ara
Q14185,oci
Q8821,cnr
Q9078,lav
Q9255,kir
Q9237,may
Q9246,mon
Q23526,sla
Q13267,sin
Q9228,bur
Q9058,slo
Q9260,tgk
Q13271,sms
Q13272,den
Q10188,zun
Q13321,mic
Q8641,yid
Q9063,slv
Q10199,zza
Q13214,zap
Q25164,nno
Q9176,kor
Q13339,moh
Q9043,nor
Q13199,roh
Q13389,bak
Q9051,ltz
Q9252,kaz
Q9288,heb
Q9264,uzb
Q14196,afr
Q9199,vie
Q12107,bre
Q25167,nob
Q13207,nyn
Q8752,baq
Q9056,cze
Q9309,wel
Q13196,raj
Q19860,ine
Q21057,gwi
Q9027,swe
Q10179,zul
Q13263,uig
Q20979,dgr
Q9166,mlt
Q9072,est
Q9292,aze
Q9205,khm
Q9217,tha
Q12175,glv
Q13218,xho
Q131339,gsw
Q112893,lol
Q178806,dum
Q236425,paa
Q523014,mus
Q947858,phi
Q1334774,lah
Q749720,tai
Q530384,dak
Q1364815,kar
Q1775361,gon
Q1991779,alt
Q102172,lim
Q2407831,nia
Q2501174,gor
Q2356431,chb
Q2779185,pro
Q3314742,ter
Q8066072,znd
Q505198,son
Q1473289,frm
